listing_name,post_id,address,address2,rent,bedrooms,datetime_posted,size,availability,description,attributes,lat,lon,html
2  bedroom main and basement and high ceiling  retail store,post id: 6545462476,NA,NA,"$4,700",2BR / 2Ba,25/04/2018 0:47,NA,28/03/2018,"ground floor has retail store near bus stop  ,walk around 10 minutes to  subway station, high ceiling , back of ground floor and basement has storage, kitchen and two washrooms,  kitchen,parking  is street permit parking  right  in front of house ,365 days/year , 24 hour/day,7 days/week.utilities are extra. property tax  not included,gas  hot water tank, Central air condition, force air gas high efficiency furnace.front  store has  floor picture windows","['house', 'w/d in unit', 'no smoking']",43.667238,-79.431862,https://toronto.craigslist.ca/tor/apa/d/2-bedroom-main-and-basement/6545462476.html
"LESLIEVILLE Brand NEW 3 Bdrm, 3 Bath, Rooftop & Parking",post id: 6570862822,(50 Curzon St),50 Curzon St,"$4,550",3BR / 3Ba,25/04/2018 0:27,2315ft2,25/04/2018,#507 -50 Curzon St ~ Contemporary Chic in Leslieville ~,"['townhouse', 'w/d in unit', 'attached garage']",43.664489,-79.331999,https://toronto.craigslist.ca/tor/apa/d/leslieville-brand-new-3-bdrm/6570862822.html
"Downtown 2 Bedroom plus Den, 2 Bathroom Condo with Parking",post id: 6570843007,NA,NA,"$2,300",2BR / 2Ba,25/04/2018 0:18,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a two bedroom plus den, two full bathroom condo at 87 Peter St, in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-2-bedroom-plus-den-2/6570843007.html
Hampton Ave - Broadview - Danforth - Riverdale - Logan - Gerrard Pape,post id: 6570858537,(Hampton Ave),Hampton Ave at Broadview/Danforth,"$4,000",3BR / 1Ba,25/04/2018 0:15,NA,01/06/2018,"Fully Furnished And Renovated Prime Riverdale 3 Bedroom Executive Home. Turn Key Just Bring Your Tooth Brush! Enjoy The Well-Lit Kitchen With A Walkout To Private Garden, 1 Car Parking. 2 Fireplaces. Just A Short Walk To Chester Subway Station And 2 Parks! Available 4 Months To 1 Year, Furnished Only. Currently Tenanted","['house', 'w/d in unit']",43.672283,-79.350654,https://toronto.craigslist.ca/tor/apa/d/hampton-ave-broadview/6570858537.html
Monarch Park Ave - Danforth - Coxwell - Mortimer - Donlands - Woodbine,post id: 6570858468,(Monarch Park Ave),Monarch Park Ave at Danforth/Monarch Park,"$3,975",3BR / 4Ba,25/04/2018 0:14,NA,01/06/2018,"Fabulous Oversized Renovated Home 1 Minute Walk To The Subway. 3+1 Bdrms And Den. 4 Bathrooms. 9 Ft Ceilings On Main Flr. Custom Built Chef's Kitchen W/High Quality S/S Appliances. Large Walk-In Pantry-Gleaming 3/4 Oak Hardwood Flrs Thru-Out. Separate Entrance To Bsmt, 8' Baseboards, Custom Crown Moulding Thru-Out. Extensive Landscaping In The Front & Back. Detached Oversized Garage.","['house', 'w/d in unit', 'detached garage']",43.683041,-79.327191,https://toronto.craigslist.ca/tor/apa/d/monarch-park-ave-danforth/6570858468.html
Sawden Ave - Greenwood - Dundas - Riverdale - Leslie - Jones - Queen,post id: 6570858391,(Sawden Ave),Sawden Ave at Greenwood And Dundas,"$3,700",2BR / 2Ba,25/04/2018 0:14,NA,24/04/2018,"Amazing Location! Totally Renovated 2 Bedroom 1.5 Bathroom Home With Finished Basement, Backyard, And 2 Car Parking. This Home Is A Must See. Located In A Fantastic Family Neighbourhood Right Beside A Huge Park, Public Transit, Shopping As Well As Everything Leslieville Has To Offer.","['house', 'w/d in unit']",43.66783,-79.330959,https://toronto.craigslist.ca/tor/apa/d/sawden-ave-greenwood-dundas/6570858391.html
$650-All inclusive-Furnished Room Available-TODAY-Share Townhouse,post id: 6570858322,(Don Mills & Eglinton),NA,$650,1BR / 1.5Ba,25/04/2018 0:14,NA,22/04/2018,*All inclusive-Private furnished room available from NOW in SHARED Townhouse-Price between $650 to $695.,"['furnished', 'townhouse', 'laundry in bldg', 'no smoking', 'attached garage']",43.71075,-79.329321,https://toronto.craigslist.ca/tor/apa/d/650-all-inclusive-furnished/6570858322.html
Lee Ave - Queen - Beaches - Dundas - Gerrard - Woodbine - Kingston,post id: 6570858305,(Lee Ave),Lee Ave at Lee/Queen,"$3,700",2BR / 1Ba,25/04/2018 0:14,NA,24/04/2018,"All Inclusive And Fully Furnished Bright Beaches Lakeside Apartment - South Of Queen Facing Kew Gardens. Modern, Comfortable Decor. This 2 Level Lower Suite Is Well-Designed With Plenty Of Light. Newly Renovated Bathroom. Master Bedroom With King Size Bed, And 2nd Bedroom With A Queen. Beautiful Hardwood Floors Throughout. Steps To Queen St Streetcar And 64 Main Bus. This Unit Does Not Allow Pets.","['furnished', 'house', 'w/d in unit']",43.668536,-79.297136,https://toronto.craigslist.ca/tor/apa/d/lee-ave-queen-beaches-dundas/6570858305.html
Alton Ave - Leslie - Queen - Riverdale - Dundas - Gerrard - Greenwood,post id: 6570858237,(Alton Ave),Alton Ave at Leslie / Queen,"$3,600",4BR / 1Ba,25/04/2018 0:14,NA,24/04/2018,"3 Level Furnished Home In Prime Leslieville, Steps To Trendy Close To Queen St Shopping, Transit, And Restaurants.. Great Family Area! Mature Yard And Deck, With One Parking Spot In The Back, And Park Access.","['house', 'w/d in unit']",43.665563,-79.328563,https://toronto.craigslist.ca/tor/apa/d/alton-ave-leslie-queen/6570858237.html
"NEW AURA EXECUTIVE SUITE!2BEDS+DEN,2BATHS,PARKING,LOCKER,DTOWN TORONTO",post id: 6564265134,"(388 Yonge st, Yonge / College)",NA,"$4,200",2BR / 2Ba,24/04/2018 23:53,1150ft2,05/03/2018,"THE AURA LUXURY CONDO! AT 388 YONGE STREET, TALLEST RESIDENTIAL TOWERS IN CANADA, LOCATED AT THE VIBRANT YONGE AND COLLEGE IN DOWNTOWN TORONTO. EXECUTIVE SUITE ON VERY HIGH FLOOR WITH BREATHTAKING VIEWS. LARGE 2 BEDROOMS PLUS DEN, 2 WASHROOMS, PARKING AND LOCKER. DEN IS A SEPARATE ROOM WITH DOORS AND CAN BE USED AS A 3RD BEDROOM! VERY ELEGANT, HIGH END FINISHES BRIGHT AND SPACIOUS, HARDWOOD FLOORS THROUGHOUT, EXCELLENT LAYOUT, FLOOR TO CEILING WINDOWS, TOP OF THE LINE HIGH END STAINLESS STEEL APPLIANCES, HIGH CEILINGS. WORLD CLASS AMENITIES IN THE BUILDING. UTILITIES: HEAT, WATER AND CAC INCLUDED IN RENT. ONE PARKING AND ONE LOCKER INCLUDED IN RENT. ENJOY THE WORLD CLASS LUXURY AT AURA WITH EXCELLENT FACILITIES. CONNECTED DIRECTLY VIA UNDERGROUND PATH TO SUBWAY, SHOPS, METRO SUPERMARKET OPEN 24 HOURS, FOOD COURTS, BANKS, ENTERTAINMENT, STEPS AWAY FROM HOSPITALS, SCHOOLS, UNIVERSITIES, RESTAURANTS, EATON CENTER, TTC AND MUCH MORE.","['condo', 'w/d in unit', 'attached garage']",43.659629,-79.382465,https://toronto.craigslist.ca/tor/apa/d/new-aura-executive/6564265134.html
Kintyre Ave - Queen - Broadview - Dundas - Gerrard - Carlaw - Logan,post id: 6570850042,(Kintyre Ave),Kintyre Ave at Queen &amp; Broadview,"$3,500",2BR / 2Ba,24/04/2018 23:53,NA,24/04/2018,"Live In The Heart Of Riverside! This 2.5 Storey Home Boasts A Pristine Backyard, 2 Bedrooms With A Third Floor Loft/Den. Massive Second Floor Washroom W/ Soaker Tub & Separate Glass Shower. Third Floor Loft Features Built-In Shelving & A Supplemental A/C Unit To Keep You Cool. Basement Has A3-Piece Washroom W/Steam Shower. Parking Off The Laneway In The Backyard. Steps To The King/Queen Streetcar & Access To Bloor/Danforth Subway.","['house', 'w/d in unit']",43.660456,-79.350799,https://toronto.craigslist.ca/tor/apa/d/kintyre-ave-queen-broadview/6570850042.html
Brookside Dr - Gerrard - Danforth - Woodbine - Kingston - Main Coxwell,post id: 6570849947,(Brookside Dr),Brookside Dr at Gerrard / Brookside,"$3,250",3BR / 1Ba,24/04/2018 23:53,NA,01/06/2018,"Detached Home On Gorgeous, Tree-Lined Upper Beach Street With Original Oak Trim And Leaded Glass Windows. Great Location And Neighborhood!! A Short Walk To Transit, Shopping, Entertainment. Beautiful Open Concept With Eat In Kitchen, Hardwood Floors, Great Living Space, Stainless Steel Appliances, Large Updated Bathroom Space, Skylights, And Finished Basement. Measurements Approximate, No Showings 4-6Pm","['house', 'w/d in unit', 'carport']",43.681152,-79.306339,https://toronto.craigslist.ca/tor/apa/d/brookside-dr-gerrard-danforth/6570849947.html
West Ave - Broadview - Dundas - Riverdale - Gerrard - Carlaw - Logan,post id: 6570849896,(West Ave),West Ave at Broadview/Dundas,"$3,100",3BR / 2Ba,24/04/2018 23:52,NA,24/04/2018,"Live In Prime South Riverdale. 3 Bedroom With Loft And Finished Basement, Newer Appliances. Close To Schools, Shopping And Transit. Large Semi With Treed Backyard And Deck. Windows Replaced 3 Yrs Ago. Will Be Painted On 20th April And Carpet Cleaned.","['house', 'w/d in unit']",43.668408,-79.454115,https://toronto.craigslist.ca/tor/apa/d/west-ave-broadview-dundas/6570849896.html
Waverley Rd - Norway - Beaches - Kingston - Woodbine - Queen - Dundas,post id: 6570849823,(Waverley Rd),Waverley Rd at Waverley Rd/Norway,"$3,000",3BR / 1Ba,24/04/2018 23:52,NA,01/06/2018,"Charm Abounds This Beautiful 3 Bedroom Family Home Located In The Heart Of The Beach. Features Include High Ceilings, Hardwood Floors, Modern Eat In Sized Kitchen With Walk Out To Private Yard & Garage Parking, 5 Appliances, Sundeck , Inviting Front Porch, Fantastic Location Just Steps To Trendy Shops & Restaurants On Queen St, 24 Hour Ttc, Walk To Lake Ontario, Area Schools, Parks, Major Hwy Access To Downtown Toronto And Much More.",['apartment'],43.675607,-79.303264,https://toronto.craigslist.ca/tor/apa/d/waverley-rd-norway-beaches/6570849823.html
Coxwell Ave - Hanson - Greenwood - Pape - Danforth - Gerrard Mortimer,post id: 6570849572,(Coxwell Ave),Coxwell Ave at Coxwell And Hanson,"$2,995",3BR / 2Ba,24/04/2018 23:52,NA,24/04/2018,"Exceptional Semi-Detached 3 Bedroom 2 Level Unit In Prime East York Neighborhood. Thoughtfully Renovated With Many Contemporary Features. A Fully Renovated Open Concept Kitchen With Custom Cabinetry, Island And High-End Stainless Steel Appliances.Steps To Subway Station, Easy Walk To Schools, Michael Garron Hospital, Park. Perfect For Any Family!","['house', 'laundry on site']",43.680006,-79.322147,https://toronto.craigslist.ca/tor/apa/d/coxwell-ave-hanson-greenwood/6570849572.html
BRAND NEW 2BED downtown waterfront with large rooftop terrace parking,post id: 6548838952,(15 Merchants' Wharf),NA,"$2,950",2BR / 2Ba,24/04/2018 23:50,850ft2,01/04/2018,"Brand New 2 Bedroom+2 Washroom Unit In 'Aqualina At Bayside"" Built By Tridel. Beautiful Lake View, Functional Split Layout, Modern Kitchen With Build In Appliances And Centre Island. Access To Lake Front Boardwalk, Activities At Sugar Beach And Ferry Terminal. Step Away From St. Lawrence Market, Distillery And Loblaws. Build In Stainless Steel Appliances Including Fridge, Oven, Cook Top, Microwave And Rang-Hood. Washer & Dryer. One Parking Included.","['condo', 'w/d in unit', 'attached garage']",43.645206,-79.362488,https://toronto.craigslist.ca/tor/apa/d/brand-new-2bed-downtown/6548838952.html
1+1BED AMAZING WATER/city VIEW with parking large balcony,post id: 6548834029,(2230 lakeshore blvd w),NA,"$2,200",1BR / 1Ba,24/04/2018 23:50,640ft2,01/06/2018,"Spectacular Views Of Lake And Toronto Skyline! Very Spacious And Bright One Bedroom Plus Den With Extra Large Balcony. View Sunrise And Sunsets! Open Concept Kitchen, Living, Dining Room. Kitchen Breakfast Bar, Floor To Ceiling Windows. Great For Entertaining. Close To Hwy, Ttc, Lake, Parks And Beach. Steps To Shopping...Metro, Shoppers And Lcbo. Includes Parking, Locker And Bike Storage.","['condo', 'w/d in unit', 'attached garage']",43.620792,-79.483509,https://toronto.craigslist.ca/tor/apa/d/11bed-amazing-water-city-view/6548834029.html
"Downtown One Bedroom plus Den, One Bathroom Condo with Parking",post id: 6570842462,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 23:50,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a one bedroom plus den, one bathroom condo at 87 Peter St in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-one-bedroom-plus-den/6570842462.html
